stage,experiment,model,adopted,evaluation_scope,threshold,roc_auc,pr_auc,f1,recall,precision,fn,fp,metric_context,provenance,delta_vs_previous_roc_auc,delta_vs_raw_logistic_roc_auc,delta_vs_previous_pr_auc,delta_vs_raw_logistic_pr_auc,delta_vs_previous_f1,delta_vs_raw_logistic_f1,delta_vs_previous_recall,delta_vs_raw_logistic_recall,delta_vs_previous_precision,delta_vs_raw_logistic_precision
P0 baseline,Dummy prior baseline,dummy_prior,reference,internal_test_holdout (historical checkpoint),0.05,0.5,0.5134,0.6784723139949782,1.0,0.5134,0.0,12165.0,Historical threshold used FN:FP=3:1; not used for new LightGBM selection.,VERIFIED: artifacts/model_comparison.csv,,-0.3937718627026676,,-0.3879713932070741,,-0.12447110474611367,,0.05633034670821957,,-0.18534235606322835
P0 baseline,Raw-feature logistic baseline,logistic_raw,reference,internal_test_holdout (historical checkpoint),0.2299999999999999,0.8937718627026676,0.901371393207074,0.8029434187410919,0.9436696532917804,0.6987423560632283,723.0,5222.0,Historical threshold used FN:FP=3:1; not used for new LightGBM selection.,VERIFIED: artifacts/model_comparison.csv,0.3937718627026676,0.0,0.3879713932070741,0.0,0.12447110474611367,0.0,-0.05633034670821957,0.0,0.18534235606322835,0.0
Feature experiment FE-01,Deterministic ratio/date features,logistic_engineered,not adopted as standalone linear winner,internal_test_holdout (historical checkpoint),0.2299999999999999,0.8937351707490389,0.9013040782475225,0.8030222693531283,0.9439813011297234,0.6986909636122485,719.0,5225.0,Historical threshold used FN:FP=3:1; not used for new LightGBM selection.,VERIFIED: artifacts/model_comparison.csv,-3.669195362876465e-05,-3.669195362876465e-05,-6.731495955158984e-05,-6.731495955158984e-05,7.885061203638521e-05,7.885061203638521e-05,0.00031164783794301876,0.00031164783794301876,-5.1392450979848014e-05,-5.1392450979848014e-05
Model screen,Constrained decision tree,decision_tree,not selected,internal_test_holdout (historical checkpoint),0.2299999999999999,0.9261704670762732,0.9314188507498912,0.828806835520293,0.9522399688352162,0.7337015247928923,613.0,4436.0,Historical threshold used FN:FP=3:1; not used for new LightGBM selection.,VERIFIED: artifacts/model_comparison.csv,0.0324352963272343,0.03239860437360553,0.030114772502368714,0.030047457542817124,0.025784566167164735,0.02586341677920112,0.008258667705492773,0.008570315543435791,0.03501056118064383,0.03495916872966398
Model screen,Random forest,random_forest,not selected,internal_test_holdout (historical checkpoint),0.3299999999999999,0.9353941863203828,0.940864654426767,0.8492920229917286,0.9439813011297234,0.7718672357775371,719.0,3581.0,Historical threshold used FN:FP=3:1; not used for new LightGBM selection.,VERIFIED: artifacts/model_comparison.csv,0.009223719244109696,0.04162232361771523,0.009445803676875864,0.03949326121969299,0.020485187471435573,0.046348604250636694,-0.008258667705492773,0.00031164783794301876,0.03816571098464483,0.07312487971430881
Model screen,Gradient boosting,gradient_boosting,historical benchmark only,internal_test_holdout (historical checkpoint),0.3,0.9415870759013956,0.947287056468388,0.8539504635395047,0.9616673159329956,0.7679338020282461,492.0,3730.0,Historical threshold used FN:FP=3:1; not used for new LightGBM selection.,VERIFIED: artifacts/model_comparison.csv,0.006192889581012717,0.047815213198727946,0.006422402041620923,0.04591566326131391,0.004658440547776088,0.05100704479841278,0.017686014803272143,0.017997662641215162,-0.003933433749291004,0.0691914459650178
P0 8-model screen,XGBoost,xgboost,not selected,validation only; holdout intentionally not used for screening,0.5,0.9394531720462904,0.9451711620484418,0.8486719708664846,0.835216205687573,0.8625683939491471,,,Validation default threshold 0.50; FN/FP row counts not persisted.,VERIFIED: model_comparison_p0.csv,-0.002133903855105146,0.0456813093436228,-0.002115894419946196,0.043799768841367714,-0.005278492673020052,0.04572855212539273,-0.12645111024542255,-0.10845344760420739,0.09463459192090096,0.16382603788591876
P0 8-model screen,LightGBM default,lightgbm,candidate,validation only; holdout intentionally not used for screening,0.5,0.939916893909882,0.9457034174546396,0.8517454113499636,0.8659135177249708,0.8380334791132559,,,Validation default threshold 0.50; FN/FP row counts not persisted.,VERIFIED: model_comparison_p0.csv,0.00046372186359155965,0.04614503120721436,0.0005322554061978346,0.04433202424756555,0.0030734404834790174,0.04880199260887175,0.030697312037397784,-0.0777561355668096,-0.02453491483589121,0.13929112305002755
P0 8-model screen,CatBoost,catboost,not selected,validation only; holdout intentionally not used for screening,0.5,0.9396581576751686,0.9454685277340578,0.8492503836619053,0.8407479548110635,0.8579265384003816,,,Validation default threshold 0.50; FN/FP row counts not persisted.,VERIFIED: model_comparison_p0.csv,-0.000258736234713397,0.04588629497250096,-0.00023488972058183233,0.04409713452698372,-0.0024950276880583155,0.04630696492081343,-0.02516556291390737,-0.10292169848071697,0.019893059287125703,0.15918418233715326
Final candidate,LightGBM randomized-search candidate,lightgbm_tuned,selected; awaiting human review,validation selection + one internal holdout evaluation,0.3499999999999999,0.9425971581828932,0.948567029688309,0.8634681093394078,0.9450720685625243,0.7948365113688487,705.0,3131.0,Balanced-F1 threshold selected on Validation; evaluated once on internal holdout.,VERIFIED: candidate metadata + threshold_scenarios_final_candidate.csv,0.002939000507724665,0.04882529548022563,0.0030985019542512093,0.047195636481234926,0.014217725677502457,0.06052469059831589,0.10432411375146089,0.0014024152707439175,-0.06309002703153288,0.09609415530562038
