model,seed,seconds,pr_auc,roc_auc,brier,f1,recall,precision,fn,fp,tp,tn
catboost,17,28.23024725914001,0.9477759740604128,0.9419076055237574,0.0952197779546938,0.8491929674574715,0.835821360675663,0.86299937251621,10536,8515,53638,52311
catboost,42,27.826284646987915,0.9478973394900624,0.9419585884019898,0.0952146725540978,0.8491176447323667,0.8363823355252906,0.8622467830808527,10500,8575,53674,52251
catboost,77,26.25438690185547,0.9479229391586927,0.9420523549965184,0.0951902241423154,0.8502391777031034,0.8378315205534952,0.8630198552190174,10407,8534,53767,52292
catboost,123,24.36218023300171,0.9479230757755688,0.942016938101052,0.095213837406523,0.8497474147623798,0.8361485960046124,0.8637958789439794,10515,8461,53659,52365
catboost,2026,24.748963117599487,0.947882649375842,0.9420090332942804,0.0951842910179411,0.850085784991975,0.8377068594758001,0.8628360484712302,10415,8546,53759,52280
xgboost,17,12.711750268936155,0.9476394980909264,0.9416601025294018,0.0954232364892959,0.8502113351036249,0.843176364259669,0.8573646850044365,10064,9002,54110,51824
xgboost,42,10.71310019493103,0.947765165335874,0.9418180534086228,0.0953831300139427,0.8503782528172772,0.8442827313242123,0.8565624308344136,9993,9073,54181,51753
xgboost,77,11.428802967071531,0.9476939332619816,0.941730805794698,0.0953859761357307,0.8503739278511508,0.8442983139589242,0.8565376163902809,9992,9075,54182,51751
xgboost,123,11.621150732040403,0.9477403940130008,0.9417935439219424,0.0953501313924789,0.8511132562647643,0.844952784616823,0.8573642185152976,9950,9021,54224,51805
xgboost,2026,11.47021985054016,0.9477930765525656,0.9418247769519764,0.0953461378812789,0.8500789306274396,0.843316607972076,0.8569505803366427,10055,9034,54119,51792
lightgbm,17,11.089136123657228,0.9478450106134608,0.9419245413212046,0.095025676890172,0.8525225093161951,0.8609249851964971,0.8442824615290576,8925,10190,55249,50636
lightgbm,42,8.914393663406372,0.9477897350692124,0.9418391150458764,0.0950485506262913,0.8518915914687334,0.8598497834013775,0.84407935998042,8994,10193,55180,50633
lightgbm,77,9.446921110153198,0.9476153266461704,0.9416673520180592,0.095124695071956,0.8514623675839279,0.8592108953781905,0.8438523461173518,9035,10203,55139,50623
lightgbm,123,10.249423503875732,0.9477018832430446,0.941751145634146,0.0950983823569869,0.8519412794779027,0.8604575061551407,0.8435919764119957,8955,10238,55219,50588
lightgbm,2026,10.256653547286987,0.9476521700918572,0.9417660153093932,0.0950702783433134,0.8520390447162314,0.8603172624427338,0.8439186194035554,8964,10211,55210,50615
