threshold,precision,recall,f1,target_customers,target_rate,fn,fp,tn,tp
0.05,0.6253630675061892,0.9997974257487456,0.7694457103110834,102598,0.820784,13,38437,22389,64161
0.06,0.6283413817084758,0.9995948514974912,0.7716356418969716,102091,0.816728,26,37943,22883,64148
0.07,0.630031339955004,0.9992987814379656,0.7728201203897301,101787,0.814296,45,37658,23168,64129
0.08,0.6329165185097388,0.9985196497023717,0.7747524453203399,101244,0.809952,95,37165,23661,64079
0.09,0.63786488075662,0.997350952098981,0.7780931829924324,100341,0.802728,170,36337,24489,64004
0.1,0.646216437773887,0.9949823916227756,0.7835418417871802,98809,0.790472,322,34957,25869,63852
0.11,0.6593957992079454,0.99111789821423,0.7919219084615767,96458,0.771664,570,32854,27972,63604
0.12,0.6822203042399396,0.9853679060055475,0.8062398000815993,92690,0.74152,939,29455,31371,63235
0.13,0.7114336539877857,0.9784180509240502,0.823835046676857,88257,0.706056,1385,25468,35358,62789
0.14,0.7344849873670604,0.9739302521270297,0.8374277311431041,85095,0.68076,1673,22594,38232,62501
0.15,0.7478879662074593,0.9711565431483156,0.8450232532913915,83332,0.666656,1851,21009,39817,62323
0.16,0.755051025980172,0.9695982796771279,0.8489797589079224,82409,0.659272,1951,20186,40640,62223
0.17,0.7592380021980706,0.9688347305762458,0.8513254463796692,81890,0.65512,2000,19716,41110,62174
0.18,0.7616695873825076,0.9685074952472964,0.8527250900360144,81601,0.652808,2021,19448,41378,62153
0.19,0.7633677845915621,0.9679309377629569,0.8535641897694871,81371,0.650968,2058,19255,41571,62116
0.2,0.7646863182271714,0.9673387976439056,0.8541570637404974,81181,0.649448,2096,19103,41723,62078
0.21,0.7659246089071625,0.9666375790818712,0.8546550477043364,80991,0.647928,2141,18958,41868,62033
0.22,0.7671482155457348,0.9656714557297348,0.85503777034252,80781,0.646248,2203,18810,42016,61971
0.23,0.7684764529182493,0.9647209150123103,0.8554886137519345,80562,0.644496,2264,18652,42174,61910
0.24,0.7702781826562519,0.963489886870072,0.856118245699055,80271,0.642168,2343,18440,42386,61831
0.25,0.7727648384673178,0.9616511359740705,0.8569226710360054,79860,0.63888,2461,18147,42679,61713
0.26,0.7755914439041597,0.9593916539408484,0.8577558583409959,79382,0.635056,2606,17814,43012,61568
0.27,0.7788895652615025,0.9570386760993549,0.8588228713660453,78852,0.630816,2757,17435,43391,61417
0.28,0.7827026059839219,0.9542961323900645,0.8600237331217481,78243,0.625944,2933,17002,43824,61241
0.29,0.7861389961389962,0.9518340761055879,0.8610880076687765,77700,0.6216,3091,16617,44209,61083
0.3,0.7892964895697101,0.9498394988624677,0.862157976251936,77227,0.617816,3219,16272,44554,60955
0.31,0.7914363383322711,0.9481721569482968,0.8627434299609378,76883,0.615064,3326,16035,44791,60848
0.32,0.793109748140415,0.9470502072490417,0.8632709298031306,76630,0.61304,3398,15854,44972,60776
0.33,0.794175747982051,0.9459594228192103,0.8634479031099542,76439,0.611512,3468,15733,45093,60706
