model,target_recall,threshold,pr_auc,roc_auc,f1,recall,precision,fn,fp,tn,tp,target_customers,target_rate
catboost,0.8,0.5199999999999999,0.9478973394900624,0.9419585884019898,0.8454056528206889,0.8058715367594352,0.8890187719177611,12458.0,6456.0,54370.0,51716.0,58172.0,0.465376
catboost,0.85,0.4899999999999999,0.9478973394900624,0.9419585884019898,0.8516549610026775,0.8550191666406957,0.848317125585566,9304.0,9811.0,51015.0,54870.0,64681.0,0.517448
catboost,0.9,0.4599999999999999,0.9478973394900624,0.9419585884019898,0.8592280390417036,0.9053666593947703,0.8175639546337208,6073.0,12965.0,47861.0,58101.0,71066.0,0.568528
catboost,0.95,0.29,0.9478973394900624,0.9419585884019898,0.8610880076687765,0.951834076105588,0.7861389961389962,3091.0,16617.0,44209.0,61083.0,77700.0,0.6216
xgboost,0.8,0.5199999999999999,0.947765165335874,0.9418180534086228,0.844753782308924,0.8056845451428928,0.8878052130911089,12470.0,6534.0,54292.0,51704.0,58238.0,0.465904
xgboost,0.85,0.4899999999999999,0.947765165335874,0.9418180534086228,0.8529979616168609,0.8640103468694487,0.842262763743525,8727.0,10384.0,50442.0,55447.0,65831.0,0.526648
xgboost,0.9,0.4699999999999999,0.947765165335874,0.9418180534086228,0.8590601054170173,0.9066756007105682,0.816196274267759,5989.0,13103.0,47723.0,58185.0,71288.0,0.570304
xgboost,0.95,0.2799999999999999,0.947765165335874,0.9418180534086228,0.8603692342329665,0.9527690341883006,0.784306934503194,3031.0,16815.0,44011.0,61143.0,77958.0,0.623664
lightgbm,0.8,0.5299999999999999,0.9477897350692124,0.9418391150458764,0.84475453549052,0.8046716738866208,0.8890400110185249,12535.0,6445.0,54381.0,51639.0,58084.0,0.464672
lightgbm,0.85,0.4999999999999999,0.9477897350692124,0.9418391150458764,0.8518915914687334,0.8598497834013775,0.84407935998042,8994.0,10193.0,50633.0,55180.0,65373.0,0.522984
lightgbm,0.9,0.4799999999999999,0.9477897350692124,0.9418391150458764,0.8578833629146647,0.9000529809580203,0.8194883872706894,6414.0,12723.0,48103.0,57760.0,70483.0,0.563864
lightgbm,0.95,0.2799999999999999,0.9477897350692124,0.9418391150458764,0.8622706219283669,0.950057655748434,0.7893346797685167,3205.0,16272.0,44554.0,60969.0,77241.0,0.617928
