feature,target_correlation,absolute_correlation
weekly_hours,-0.3024638296380896,0.3024638296380896
notifications_clicked,-0.04241923869040623,0.04241923869040623
average_session_length,-0.006500312067868068,0.006500312067868068
num_favorite_artists,-0.0053745865763650735,0.0053745865763650735
num_platform_friends,-0.003002533413227644,0.003002533413227644
num_playlists_created,-0.002191487573209492,0.002191487573209492
signup_date,-0.0012027865777562768,0.0012027865777562768
weekly_songs_played,0.0009075927810730177,0.0009075927810730177
num_shared_playlists,0.003825970409707856,0.003825970409707856
weekly_unique_songs,0.01935653900159304,0.01935653900159304
age,0.04870152451500578,0.04870152451500578
song_skip_rate,0.16018580001680457,0.16018580001680457
num_subscription_pauses,0.18302227906084234,0.18302227906084234
