risk_decile,customers,actual_churners,actual_churn_rate,mean_predicted_probability,calibration_gap,evaluation_split
10,2500,2500,1.0,0.9899956518343384,0.0100043481656615,internal_test_holdout
9,2500,2497,0.9988,0.9679291950232826,0.0308708049767174,internal_test_holdout
8,2500,2288,0.9152,0.9081492494152332,0.0070507505847668,internal_test_holdout
7,2500,2181,0.8724,0.8366905567591612,0.0357094432408388,internal_test_holdout
6,2500,1316,0.5264,0.5774838598686876,-0.0510838598686875,internal_test_holdout
5,2500,1211,0.4844,0.4851752471172266,-0.0007752471172266,internal_test_holdout
4,2500,546,0.2184,0.2229078623775699,-0.0045078623775699,internal_test_holdout
3,2500,251,0.1004,0.1118359902013938,-0.0114359902013938,internal_test_holdout
2,2500,45,0.018,0.0415575875520994,-0.0235575875520994,internal_test_holdout
1,2500,0,0.0,0.0106535523607036,-0.0106535523607036,internal_test_holdout
