decile,customers,actual_churn_rate,mean_predicted_probability,actual_churners,model
1,12500,0.0,0.004436889489278624,0,catboost
2,12500,0.01616,0.03380938193406165,202,catboost
3,12500,0.09936,0.11602812548155653,1242,catboost
4,12500,0.2136,0.22064015682233346,2670,catboost
5,12500,0.50096,0.46857926611782974,6262,catboost
6,12500,0.5312,0.5581076687770404,6640,catboost
7,12500,0.85608,0.8339533845289243,10701,catboost
8,12500,0.91688,0.9119685801997647,11461,catboost
9,12500,0.99968,0.9876327415990416,12496,catboost
10,12500,1.0,0.9987839990551929,12500,catboost
1,12500,0.0,0.012944159097969532,0,xgboost
2,12500,0.0172,0.04668913409113884,215,xgboost
3,12500,0.10032,0.12359445542097092,1254,xgboost
4,12500,0.20944,0.2207874059677124,2618,xgboost
5,12500,0.5004,0.47621360421180725,6255,xgboost
6,12500,0.53776,0.5561904907226562,6722,xgboost
7,12500,0.85096,0.8269196152687073,10637,xgboost
8,12500,0.91808,0.9034954905509949,11476,xgboost
9,12500,0.99976,0.9743910431861877,12497,xgboost
10,12500,1.0,0.9936968088150024,12500,xgboost
1,12500,0.0,0.005651463719975807,0,lightgbm
2,12500,0.01792,0.03063634962302683,224,lightgbm
3,12500,0.09792,0.09573977519504258,1224,lightgbm
4,12500,0.21312,0.2027258589850556,2664,lightgbm
5,12500,0.5032,0.48400584856530104,6290,lightgbm
6,12500,0.52824,0.5715679673294434,6603,lightgbm
7,12500,0.85712,0.8521525414084123,10714,lightgbm
8,12500,0.91696,0.9181795391642129,11462,lightgbm
9,12500,0.99944,0.9790383289534912,12493,lightgbm
10,12500,1.0,0.9950650571169326,12500,lightgbm
