threshold,oof_target_customers,oof_target_rate,oof_tp,oof_fn,oof_fp,oof_tn,oof_precision,oof_recall,oof_f1
0.05,102598,0.820784,64161,13,38437,22389,0.6253630675061892,0.9997974257487456,0.7694457103110834
0.06,102091,0.816728,64148,26,37943,22883,0.6283413817084758,0.9995948514974912,0.7716356418969716
0.07,101787,0.814296,64129,45,37658,23168,0.630031339955004,0.9992987814379656,0.7728201203897301
0.08,101244,0.809952,64079,95,37165,23661,0.6329165185097388,0.9985196497023717,0.7747524453203399
0.09,100341,0.802728,64004,170,36337,24489,0.63786488075662,0.997350952098981,0.7780931829924324
0.1,98809,0.790472,63852,322,34957,25869,0.646216437773887,0.9949823916227756,0.7835418417871802
0.11,96458,0.771664,63604,570,32854,27972,0.6593957992079454,0.99111789821423,0.7919219084615767
0.12,92690,0.74152,63235,939,29455,31371,0.6822203042399396,0.9853679060055475,0.8062398000815993
0.13,88257,0.706056,62789,1385,25468,35358,0.7114336539877857,0.9784180509240502,0.823835046676857
0.14,85095,0.68076,62501,1673,22594,38232,0.7344849873670604,0.9739302521270297,0.8374277311431041
0.15,83332,0.666656,62323,1851,21009,39817,0.7478879662074593,0.9711565431483156,0.8450232532913915
0.16,82409,0.659272,62223,1951,20186,40640,0.755051025980172,0.9695982796771279,0.8489797589079224
0.17,81890,0.65512,62174,2000,19716,41110,0.7592380021980706,0.9688347305762458,0.8513254463796692
0.18,81601,0.652808,62153,2021,19448,41378,0.7616695873825076,0.9685074952472964,0.8527250900360144
0.19,81371,0.650968,62116,2058,19255,41571,0.7633677845915621,0.9679309377629569,0.8535641897694871
0.2,81181,0.649448,62078,2096,19103,41723,0.7646863182271714,0.9673387976439056,0.8541570637404974
0.21,80991,0.647928,62033,2141,18958,41868,0.7659246089071625,0.9666375790818712,0.8546550477043364
0.22,80781,0.646248,61971,2203,18810,42016,0.7671482155457348,0.9656714557297348,0.85503777034252
0.23,80562,0.644496,61910,2264,18652,42174,0.7684764529182493,0.9647209150123103,0.8554886137519345
0.24,80271,0.642168,61831,2343,18440,42386,0.7702781826562519,0.963489886870072,0.856118245699055
0.25,79860,0.63888,61713,2461,18147,42679,0.7727648384673178,0.9616511359740705,0.8569226710360054
0.26,79382,0.635056,61568,2606,17814,43012,0.7755914439041597,0.9593916539408484,0.8577558583409959
0.27,78852,0.630816,61417,2757,17435,43391,0.7788895652615025,0.9570386760993549,0.8588228713660453
0.28,78243,0.625944,61241,2933,17002,43824,0.7827026059839219,0.9542961323900645,0.8600237331217481
